###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57398.449459  13.458  0.003 15023   45 c  0  31.71  90.26700 -18.96770  6910.94  3231.63 3.89 3.68   3.0 -0.415 19.61 21.65 02a57398o0410c
57399.398428  13.440  0.003 15279   44 c  0  57.50  90.26700 -18.96770  7684.76  2051.63 4.07 3.62  12.9 -0.442 19.59 21.57 02a57399o0340c
57399.415311  13.432  0.003 15384   51 c  0  21.71  90.26700 -18.96770  8006.95  2637.84 3.92 3.64  18.5 -0.433 19.58 21.57 02a57399o0367c
57399.432162  13.421  0.003 15551   46 c  0  53.73  90.26700 -18.96770  7184.12  1475.22 4.24 3.61   4.1 -0.457 19.60 21.57 02a57399o0394c
57399.450057  13.455  0.003 15068   43 c  0  59.90  90.26700 -18.96770  6914.39  3230.40 3.80 3.62   4.6 -0.419 19.58 21.53 02a57399o0421c
57406.361773  12.950  0.003 23999   75 o  0  28.84  90.26700 -18.96770  7171.73  2673.38 4.07 3.65   6.6 -0.480 18.29 19.32 02a57406o0143o
57406.367125  12.941  0.003 24197   67 o  0  33.48  90.26700 -18.96770  6882.97  2090.76 4.26 3.70   4.0 -0.479 18.60 19.81 02a57406o0151o
57406.377594  12.957  0.003 23844   65 o  0  58.64  90.26700 -18.96770  7738.96  3254.17 3.65 3.50  37.6 -0.483 18.68 19.86 02a57406o0167o
57406.402533  12.943  0.003 24135   68 o  0  46.14  90.26700 -18.96770  8045.55  1504.15 4.02 3.55   7.6 -0.522 18.70 19.87 02a57406o0204o
57407.359648  12.949  0.003 24003   69 o  0  42.14  90.26700 -18.96770  7171.40  2676.18 3.88 3.44   8.1 -0.500 18.52 19.49 02a57407o0278o
57407.366278  12.952  0.003 23936   70 o  0  36.43  90.26700 -18.96770  6883.43  2091.53 4.06 3.45   5.5 -0.515 18.51 19.49 02a57407o0288o
57407.375165  12.953  0.003 23912   69 o  0  38.41  90.26700 -18.96770  7739.59  3256.70 3.62 3.50  39.0 -0.489 18.52 19.50 02a57407o0301o
57407.400818  12.947  0.003 24050   80 o  0  12.63  90.26700 -18.96770  8045.68  1506.52 4.25 3.70   7.4 -0.509 18.48 19.50 02a57407o0339o
57410.335988  12.948  0.005 24043  124 o  0   5.86  90.26700 -18.96770  3549.58  8029.52 3.90 3.58 -86.8 -0.454 18.13 18.85 02a57410o0241o
57410.355804  12.952  0.005 23941  119 o  0   6.27  90.26700 -18.96770  3832.91  8617.26 3.63 3.36 -88.7 -0.487 18.19 18.84 02a57410o0271o
57410.373618  12.954  0.003 23899   79 o  0  11.41  90.26700 -18.96770  7738.41  3258.93 3.68 3.61  46.2 -0.458 18.15 18.84 02a57410o0297o
57410.401699  12.950  0.004 23996   88 o  0  12.53  90.26700 -18.96770  8047.96  1509.76 3.93 3.49   5.2 -0.523 18.14 18.76 02a57410o0339o
57411.337169  12.948  0.005 24030  118 o  0   8.34  90.26700 -18.96770  3541.07  8033.94 3.76 3.23 -80.5 -0.523 18.18 18.88 02a57411o0241o
57411.358957  12.955  0.003 23870   79 o  0  26.00  90.26700 -18.96770  6878.33  2095.52 4.05 3.37   4.8 -0.534 18.18 18.84 02a57411o0273o
57411.374762  12.953  0.003 23921   78 o  0  21.90  90.26700 -18.96770  7728.34  3257.78 3.65 3.49  41.6 -0.505 18.18 18.84 02a57411o0297o
57411.376606  12.944  0.003 24114   84 o  0  19.71  90.26700 -18.96770  8035.77  1505.65 4.05 3.44  13.1 -0.544 18.19 18.84 02a57411o0300o
57412.336644  12.955  0.003 23884   79 o  0  14.87  90.26700 -18.96770  3541.57  8033.98 4.06 3.57 -77.3 -0.477 18.36 19.36 02a57412o0190o
57412.358093  12.943  0.003 24134   78 o  0  22.08  90.26700 -18.96770  6877.65  2095.53 4.37 3.62   4.3 -0.517 18.33 19.24 02a57412o0222o
